id,name,path,mimeType,modifiedTime,owner,size,driveId,parents
0AHZG-qV0huDxUk9PVA,My Drive,/My Drive,application/vnd.google-apps.folder,,,,,
1-4TTL6M9IHr2QdBjaCsDgwTuS1QXEvHR1xdKJ0b0OJ4,Copy of Product Evals & Validation for AI for Equity Community,/My Drive/Copy of Product Evals & Validation for AI for Equity Community,application/vnd.google-apps.spreadsheet,2025-10-15T18:57:29.342Z,pcuenco@elhaynes.org,6640,,0AHZG-qV0huDxUk9PVA
1_VJZx-xJEP3aEVPZi9wFpsJRr_o5QXB6,Office 2024 Setup,/My Drive/Office 2024 Setup,application/vnd.google-apps.folder,2025-10-15T13:42:12.430Z,pcuenco@elhaynes.org,,,0AHZG-qV0huDxUk9PVA
1GbPu53mHXyDoTeiKvCuDQJSEf3d2c-c1FSG2ymxP3HY,Untitled presentation,/My Drive/Untitled presentation,application/vnd.google-apps.presentation,2025-10-15T13:37:43.791Z,pcuenco@elhaynes.org,145526,,0AHZG-qV0huDxUk9PVA
1VXHpsddkC6jqI1atOVG4qPZ70B8pQkbrEvTDQMcAf54,Assessment Testing Calendar,/My Drive/Assessment Testing Calendar,application/vnd.google-apps.spreadsheet,2025-10-14T18:05:53.683Z,pcuenco@elhaynes.org,2854,,0AHZG-qV0huDxUk9PVA
1r7AhpjxSibkEyg8gLQ7ukOrO45iYg1ANyYJhRtUJLR4,AAC - IPAD Devices,/My Drive/AAC - IPAD Devices,application/vnd.google-apps.spreadsheet,2025-10-14T14:46:19.477Z,pcuenco@elhaynes.org,2090,,0AHZG-qV0huDxUk9PVA
1Cbq3rwVQ0eQVInUKTMeSVTWkERc0pp9THavZKlSOEWo,DNS Meeting,/My Drive/DNS Meeting,application/vnd.google-apps.document,2025-10-08T15:23:04.673Z,pcuenco@elhaynes.org,1024,,0AHZG-qV0huDxUk9PVA
1E4jihCMzZaWoQFts704Axkjg8R8yVHRo,Laptop,/My Drive/Laptop,application/vnd.google-apps.folder,2025-10-08T14:14:14.490Z,pcuenco@elhaynes.org,,,0AHZG-qV0huDxUk9PVA
16kKv811rOos3yh6luJ3RUDsa4i-1MOpa4-26r1jRuWI,user-lookup,/My Drive/user-lookup,application/vnd.google-apps.spreadsheet,2025-10-07T19:25:56.898Z,pcuenco@elhaynes.org,1024,,0AHZG-qV0huDxUk9PVA
19CRiU2P_E3hMXQ9nRvtHmuUWirCGYCZMCzI8nCTeFGg,"in google sheets, i want to auto fill the value i...","/My Drive/in google sheets, i want to auto fill the value i...",application/vnd.google-apps.spreadsheet,2025-10-06T17:33:16.775Z,pcuenco@elhaynes.org,1512,,0AHZG-qV0huDxUk9PVA
10wT5lvxuhBVl0epiuau3c3c9500k_zv3H_LuqLeRtpo,AD-Group-Mapping,/My Drive/AD-Group-Mapping,application/vnd.google-apps.spreadsheet,2025-10-06T17:31:05.760Z,pcuenco@elhaynes.org,1024,,0AHZG-qV0huDxUk9PVA
1rPpppqb_UWX01_TaRDkhVOln-i4ZEEp734LjzkUCMMw,25-26 Goals,/My Drive/25-26 Goals,application/vnd.google-apps.document,2025-10-03T13:52:15.307Z,pcuenco@elhaynes.org,1024,,0AHZG-qV0huDxUk9PVA
1xpyZgFeOQkUHp6qJC6Xa8QLiix-ScAtDICl68ekhSBo,Supplies Request Approval Workflow,/My Drive/Supplies Request Approval Workflow,application/vnd.google-apps.document,2025-09-30T20:14:30.397Z,pcuenco@elhaynes.org,29081,,0AHZG-qV0huDxUk9PVA
1sgdqPPXSwnFfUSJBC3oDFVLpJULDH8qoFpZG1zR_PAk,M-J-A-P,/My Drive/M-J-A-P,application/vnd.google-apps.document,2025-09-24T19:43:22.541Z,pcuenco@elhaynes.org,1024,,0AHZG-qV0huDxUk9PVA
1SPQ4zIR3cN0xBFPlY_uth92VBQcy9Ss6MBxNuGMilKw,IT Ticketing and Collaboration Guidelines,/My Drive/IT Ticketing and Collaboration Guidelines,application/vnd.google-apps.document,2025-09-24T14:01:59.753Z,pcuenco@elhaynes.org,5834,,0AHZG-qV0huDxUk9PVA
1O8tA5pxHC_FYtpXxv53-Ja1ZStrmXwaZr7BkglXIbVE,GCDS,/My Drive/GCDS,application/vnd.google-apps.document,2025-09-22T15:58:35.375Z,pcuenco@elhaynes.org,245213,,0AHZG-qV0huDxUk9PVA
10q702k2OKD7CG3nsRgu4g3emEhoTf5CuXaG2RTmmyFc,Incident IQ Change Log,/My Drive/Incident IQ Change Log,application/vnd.google-apps.document,2025-09-22T15:27:24.530Z,pcuenco@elhaynes.org,111473,,0AHZG-qV0huDxUk9PVA
1Grazb2YuSbUf5J8XZPfnRxdI87M522A_sHe0yyxhY9c,IC - GC,/My Drive/IC - GC,application/vnd.google-apps.document,2025-09-22T13:02:54.640Z,pcuenco@elhaynes.org,149910,,0AHZG-qV0huDxUk9PVA
1MnJGr6RKAmM1eVIMcRb6Y-o4VRA_khkK,IT Operations,/My Drive/IT Operations,application/vnd.google-apps.site,2025-09-17T14:07:41.628Z,pcuenco@elhaynes.org,19055,,0AHZG-qV0huDxUk9PVA
